id,title,type,genres,averageRating,numVotes,releaseYear
tt5851616,"Tash ma Tash",tvSeries,"Comedy, Drama",8.9,10736,1992
tt11992526,Harga,tvSeries,Drama,8.9,10017,2021
tt1375666,Inception,movie,"Action, Adventure, Sci-Fi",8.8,2611056,2010
tt0137523,"Fight Club",movie,Drama,8.8,2392742,1999
tt0109830,"Forrest Gump",movie,"Drama, Romance",8.8,2316975,1994
tt0167261,"The Lord of the Rings: The Two Towers",movie,"Action, Adventure, Drama",8.8,1827233,2002
tt0060196,"The Good, the Bad and the Ugly",movie,"Adventure, Drama, Western",8.8,829560,1966
tt10986410,"Ted Lasso",tvSeries,"Comedy, Drama, Sport",8.8,372298,2020
tt7660850,Succession,tvSeries,"Comedy, Drama",8.8,294235,2018
tt0472954,"It's Always Sunny in Philadelphia",tvSeries,Comedy,8.8,258376,2005
tt0098936,"Twin Peaks",tvSeries,"Crime, Drama, Mystery",8.8,220912,1990
tt3398228,"BoJack Horseman",tvSeries,"Animation, Comedy, Drama",8.8,198895,2014
tt0193676,"Freaks and Geeks",tvSeries,"Comedy, Drama",8.8,155828,1999
tt0214341,"Dragon Ball Z",tvSeries,"Action, Adventure, Animation",8.8,153870,1996
tt0264235,"Curb Your Enthusiasm",tvSeries,Comedy,8.8,151777,2000
tt7137906,"When They See Us",tvMiniSeries,"Biography, Crime, Drama",8.8,142284,2019
tt23849204,"12th Fail",movie,"Biography, Drama",8.8,133175,2023
tt14650074,Dhindora,tvSeries,"Comedy, Drama",8.8,123139,2021
tt0072500,"Fawlty Towers",tvSeries,Comedy,8.8,101828,1975
tt3530232,"Last Week Tonight with John Oliver",tvSeries,"Comedy, News, Talk-Show",8.8,97333,2014
tt0112130,"Pride and Prejudice",tvMiniSeries,"Drama, Romance",8.8,94325,1995
tt0121220,"Dragon Ball Z",tvSeries,"Action, Adventure, Animation",8.8,90763,1989
tt10233448,"Vinland Saga",tvSeries,"Action, Adventure, Animation",8.8,84201,2019
tt0063929,"Monty Python's Flying Circus",tvSeries,Comedy,8.8,79867,1969
tt1910272,Steins;Gate,tvSeries,"Animation, Comedy, Drama",8.8,77502,2011
